breed,
 Auvergne Pointer (Braque d' Auvergne),
Bohemian Wire-haired Pointing Griffon (Cesky Fousek),
Bracco Italiano (Italian Pointing Dog),
Brittany Spaniel (Epagneul Bretton),
English Setter,
German Short-haired Pointer,
German Wire-haired Pointer,
Gordon Setter,
Hungarian Vizsla,
Hungarian Wire-haired Pointer (Vizsla),
Irish Red & White Setter,
Irish Setter,
Irish Water Spaniel,
Kleiner Münsterländer,
Lagotto Romagnolo (Romagna Waterdog),
Large Munsterlander,
Nederlandse Kooikerhondje,
Pointer,
Retriever (Chesapeake Bay),
Retriever (Curly Coated),
Retriever (Flat Coated),
Retriever (Golden),
Retriever (Labrador),
Spaniel (American Cocker),
Spaniel (Clumber),
Spaniel (Cocker),
Spaniel (English Springer) ,
Spaniel (Field),
Spaniel (Sussex),
Spaniel (Welsh Springer),
Spinone Italiano (Italian Spinone),
Stabijhoun,
Weimaraner,
Wirehaired Slovakian Pointer (Slovenský hrubosrstý Stavač),
Australian Cattle Dog,
Australian Kelpie,
Australian Shepherd ,
Bearded Collie,
Beauce Sheep Dog,
Belgian Shepherd Dog,
Border Collie,
Bouvier des Flandres,
Briard,
Cane Da Pastore Bergamasco,
Coban Kopegi (Anatolian Shepherd Dog),
Collie (Rough),
Collie (Smooth),
Dutch Shepherd Dog,
Finnish Lapponian Dog,
Kangal Dog,
Komondor,
Kuvasz ,
Lancashire Heeler,
Maremma Sheepdog,
Miniature American Shepherd,
Mudi,
Norwegian Buhund,
Old English Sheepdog,
Picardy Sheepdog,
Polish Lowland Sheepdog,
Puli,
Pyrenean Sheepdog Long - Haired,
Samoyed,
Shetland Sheepdog,
Swedish Vallhund,
Welsh Corgi (Cardigan),
Welsh Corgi (Pembroke),
White Swiss Shepherd Dog ,
Afghan Hound,
American English Coonhound,
Azawakh,
Basenji,
Basset Fauve de Bretagne,
Basset Griffon Vendeen (Petit),
Basset Hound,
Bavarian Mountain Scent Hound (Bayerischer Gebirgsschweisshund),
Beagle,
Bloodhound,
Bluetick Coonhound,
Borzoi - Russian Hunting Sighthound ,
Coarse-haired Styrian Hound,
Dachshund (Long-haired),
Dachshund (Miniature Long-haired),
Dachshund (Miniature Smooth-haired),
Dachshund (Miniature Wire-haired),
Dachshund (Smooth-haired),
Dachshund (Wire-haired),
Deerhound,
English Foxhound,
Finnish Spitz,
Grand Basset Griffon Vendeen,
Greyhound,
Hamiltonstövare,
Ibizan Hound,
Irish Wolfhound,
Norman Artesien Basset (Basset Artésien Normand),
Norwegian Elkhound,
Otterhound,
Pharaoh Hound,
Rhodesian Ridgeback,
Saluki,
Sloughi,
Spanish Greyhound,
Thai Ridgeback Dog,
Whippet,
Airedale Terrier,
American Staffordshire Terrier,
Australian Terrier ,
Bedlington Terrier,
Border Terrier ,
Brazilian Terrier ,
Bull Terrier ,
Bull Terrier (Miniature),
Cairn Terrier ,
Cesky Terrier,
Dandie Dinmont Terrier,
Fox Terrier (Smooth),
Fox Terrier (Wire) ,
Irish Glen of Imaal Terrier ,
Irish Soft Coated Wheaten Terrier ,
Irish Terrier ,
Jack Russell Terrier,
Kerry Blue Terrier ,
Lakeland Terrier,
Manchester Terrier,
Norfolk Terrier,
Norwich Terrier,
Parson Russell Terrier,
Scottish Terrier ,
Sealyham Terrier,
Skye Terrier,
Staffordshire Bull Terrier ,
Welsh Terrier ,
West Highland White Terrier ,
Affenpinscher,
Australian Silky Terrier,
Bichon Frisé,
Biewer Terrier,
Bolognese,
Cavalier King Charles Spaniel,
Chihuahua - Long Coat,
Chihuahua - Smooth Coat,
Chinese Crested,
Coton De Tulear,
English Toy Terrier (Black & Tan),
Griffon Bruxellois,
Havanese (Bichon Havanais) ,
Italian Greyhound,
Japanese Chin,
King Charles Spaniel,
Löwchen (Little Lion Dog),
Maltese,
Miniature Pinscher,
Papillon,
Pekingese,
Pomeranian,
Pug,
Toy Fox Terrier,
Yorkshire Terrier,
Alaskan Malamute ,
American Akita,
Appenzell Cattle Dog,
Bernese Mountain Dog,
Boerboel,
Boxer,
Bullmastiff,
Canadian Eskimo Dog ,
Cane Corso (Italian Cane Corso),
Caucasian Shepherd Dog,
Central Asia Shepherd Dog ,
Dobermann,
Dogo Argentino,
Dogo Canario ,
Dogue de Bordeaux,
Eskimo Dog,
Estrela Mountain Dog,
Fila Brasileiro,
German Pinscher,
German Shepherd Dog,
Giant Schnauzer,
Great Dane,
Great Swiss Mountain Dog (Grosser Schweizer Sennenhund),
Greenland,
Hovawart,
Landseer (ECT),
Leonberger,
Mastiff,
Neapolitan Mastiff,
Newfoundland,
Portuguese Water Dog,
Pyrenean Mountain Dog,
Rottweiler,
Russian Black Terrier,
Saint Bernard,
Schnauzer,
Siberian Husky,
Tibetan Mastiff,
Tosa,
Akita,
Boston Terrier,
Bulldog ,
Canaan Dog,
Chow Chow,
Dalmatian,
French Bulldog,
German Spitz (Mittel),
Japanese Spitz,
Keeshond,
Lhasa Apso,
Miniature Schnauzer,
Peruvian Hairless Dog,
Poodle (Miniature),
Poodle (Standard),
Poodle (Toy) ,
Schipperke ,
Shar Pei ,
Shiba,
Shih Tzu,
Tibetan Spaniel,
Tibetan Terrier,
Xoloitzcuintle (Hairless Variety & Coated Variety),
AfriCanis,
